#REF!,No,Name proyect,Orientation,Defect,Urgency,Drop,Level,PHOTO 1,PHOTO 2,PHOTO 3,PHOTO 4,PHOTO 5,PHOTO 6,PHOTO 7,PHOTO 8,PHOTO 9,STATUS,STATUS,,,TECHNICIAN START,DATE 1ST PHOTO,TIME 1ST PHOTO,TECHNICIAN COMPLETED,DATE COMPLETED,TIME COMPLETED,mapping,NAME PROJECT:,COMMENT ,Base (m),Height (m),Linear Meters,Quantity
1354,1354,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,1,11,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/kYSGnNnmSib8tE8NW4tA.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/rb4jWPSPVleKczAyx0AF.jpg,,COMPLETED,COMPLETED,,,Ali Madad,,,,17/09/2026,08:59:01,,,,,,,
45,45,CRONULLA JOB,STAGE 1,RENDER REPAIR TO SLAB EDGE,LOW,1,11,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/GEugKMrjTmfxHGK0ZZoK.jpg,,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,11:06:35,,17/08/2026,11:50:21,,,,,,,
44,44,CRONULLA JOB,STAGE 1,SKIM RENDERING,MEDIUM,1,11,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/KWCn5Or4Z3jfMnb8TKw0.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/OmLbQvPb6OWcbagqYSnu.jpg,,,,,,IN PROGRESS,IN PROGRESS,,,César Meneses,17/08/2026,11:05:57,Nicolas Loyola,07/09/2026,10:56:39,,,5 CRACK,,,2.5,
49,49,CRONULLA JOB,STAGE 1,RENDER REPAIR,MEDIUM,1,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/64GTvkbFM9jVjs7DzWE0.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/zhVcoJFXNp2Qm4AgBM1K.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/smWmxDHhNKPMR7jv53Rq.jpg,,,,,IN PROGRESS,IN PROGRESS,,,César Meneses,17/08/2026,10:55:43,Nicolas Loyola,10/09/2026,08:42:55,,,,1,0.1,,
1241,1241,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,1,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/yZgcwIUagjkPmeiR0vhq.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/tlp5uDxM0J1D0QhL4RZN.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/eNRD7TBILGkgFAW51wkU.jpg,,,,,IN PROGRESS,IN PROGRESS,,,Nicolas Loyola,,,Nicolas Loyola,14/09/2026,11:19:13,,,,0.36,0.15,,
1353,1353,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,1,12,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/peCBvLoEqoii8mC5rFXP.jpg,,,COMPLETED,COMPLETED,,,Ali Madad,,,,17/09/2026,08:57:50,,,,,,,
50,50,CRONULLA JOB,STAGE 1,RENDER REPAIR TO SLAB EDGE,MEDIUM,1,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/7lxydlEF0Dv00wBxrYj2.jpg,,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,10:56:48,,17/08/2026,11:58:38,,,,,,,
48,48,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,1,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Zelhq5m8VyIlTds3Byqk.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/AVzLjqM5963zeiBDlbbf.jpg,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,10:47:07,,17/08/2026,11:53:02,,,,,,1.8,
46,46,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,1,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/e24T8zAaGxnyEhAnoqfY.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/XIRtLlItahBXUmrviCcK.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/cVhiASutsyCsOqWaJcTs.jpg,,,,,,IN PROGRESS,IN PROGRESS,,,César Meneses,17/08/2026,10:44:28,Nicolas Loyola,07/09/2026,09:48:40,,,,,,2,
47,47,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,1,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/QXN9faGJIah0zQDl4sSX.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/dcXDSERFhO9aj6B84HmA.jpg,,,,,,IN PROGRESS,IN PROGRESS,,,César Meneses,17/08/2026,10:45:16,Nicolas Loyola,08/09/2026,14:50:39,,,,,,1.2,
51,51,CRONULLA JOB,STAGE 1,SKIM RENDERING,MEDIUM,1,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/SEwyse0cPRK0diVgioxU.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/CSGFovVNMlHzv30jH6LC.jpg,,,,,,IN PROGRESS,IN PROGRESS,,,César Meneses,17/08/2026,10:56:48,Nicolas Loyola,08/09/2026,14:21:04,,,,,,1.4,
52,52,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,1,R,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/SeKrdLjjgx3YuLBZ2Yl7.jpg,,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,08:52:48,,17/08/2026,12:02:35,,,,,,0.5,
53,53,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,1,R,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/3RNZsgEQ81v47ORwFWOh.jpg,,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,08:53:42,,17/08/2026,13:37:04,,,,0.2,0.2,,
54,54,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,1,R,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/eM9zInZaQ4JAWZlom2yH.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/9nR4LQIy5G9fSTNIJxw9.jpg,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,08:54:57,,17/08/2026,13:37:07,,,,,,0.2,
55,55,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,2,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/BqUH1YlBdndk9Y12YbYW.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/wIuOcV6bUC0KnR75xcMU.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/4USiAFvsBQfN5uYUKG7C.jpg,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,11:44:10,,17/08/2026,13:40:16,,,,0.2,0.8,,
56,56,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,2,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/UpPC8CSa4pWLFgfrWNb6.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/FZuU6rNXOCcK0ExnwezZ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Pwx6S3AkJ5OdLFdY2YMp.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/9OjdsHo0OeVSMPhWmnc6.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/gnzGWV6CQudZmzhKeX3q.jpg,,,,,BEFORE,IN PROGRESS,CHECK,,Nicolas Loyola,17/08/2026,11:36:29,Seba Dadea,08/09/2026,11:16:58,,,,3.1,0.2,,
1345,1345,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,2,4,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/tn0SzWHYf6EKDt7zZpQh.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/KXzu5pKL91Wbz0j2JYQw.jpg,,COMPLETED,COMPLETED,,,Ali Madad,,,,16/09/2026,08:00:53,,,,,,,
57,57,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,2,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/k2BSWXFwyTDDGbfMS9zn.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/fDtjvkTINUisIqjs96da.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/0JEoTifL5naHsBUJUmvm.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/M8KalH2SlHJ2Do0qQMBs.jpg,,,,,BEFORE,IN PROGRESS,CHECK,,Nicolas Loyola,17/08/2026,11:25:54,Seba Dadea,08/09/2026,10:56:43,,,,3.1,0.3,,
58,58,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,2,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/nU5cvObRM50g3yiQ3v4Y.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/LcuS6Rb6eWSIBruvUQ5H.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/KTNsOTHJaxuDUGFlTAKX.jpg,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,11:33:26,,17/08/2026,13:42:17,,,CORNER,0.2,0.3,,
1344,1344,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,2,5,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/1Ox4SZcm1Arq3LQ1uKdv.jpg,,,COMPLETED,COMPLETED,,,Ali Madad,,,,16/09/2026,07:59:57,,,,,,,
59,59,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,2,6,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/qmYs1zt6cumUYPQHum6p.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/m4iCtTGG63d4wFGUdjVs.jpg,,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,11:21:52,,17/08/2026,13:42:55,,,,0.2,0.7,,
1341,1341,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,2,7,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/GB0ioOoew0qEHxH5sfeb.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/tT93HncFWATNHaittoxL.jpg,,COMPLETED,COMPLETED,,,Ali Madad,,,,16/09/2026,07:57:40,,,,,,,
61,61,CRONULLA JOB,STAGE 1,SEAL WINDOW FRAME,LOW,2,7,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/WBZ218fCmeYIFX1QIfU2.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/vbyBbQ9aaeIKJeBbNzPZ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/mNDEAG34WqIPSPlUq2ue.jpg,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,11:18:02,,17/08/2026,13:44:28,,,ON BOTTOM,,,1.5,
60,60,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,2,7,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/LafPCb2l2e2nHJtVfsyn.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/rm2MvGKeWw1REqhtv0zh.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/vv2NWNrv1ZhzyHimqpxb.jpg,,,,,,BEFORE,IN PROGRESS,CHECK,,Nicolas Loyola,17/08/2026,11:16:30,Seba Dadea,08/09/2026,10:15:48,,,,0.2,0.2,,
62,62,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,2,7,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/d5AoMR3Q5vJEt4b0dmfK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/oGupTVAN0ZIPekPPRZKr.jpg,,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,11:20:21,,17/08/2026,13:44:39,,,CRACKS,,,3,
64,64,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,2,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/q3P9QwQfnVlAYcUmt9KZ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/acrit7rCd2a681INeJH4.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/2wHtiPZNTZrSZzNUWLzw.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Z2keyKWmkddocz66FHQu.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/rx2UV4CUiIdfGswWTEZp.jpg,,,,,BEFORE,IN PROGRESS,CHECK,,Nicolas Loyola,17/08/2026,11:14:13,Nicolas Loyola,10/09/2026,09:45:37,,,,3.1,0.1,,
1339,1339,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,2,8,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/hnW0oCGZgbZDAUopIU5I.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/MkTUb3oRAQ8bk9fd8nj8.jpg,,COMPLETED,COMPLETED,,,Ali Madad,,,,16/09/2026,07:54:46,,,,,,,
63,63,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,2,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/7z9tAFT9YKgod46UrGo1.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/GczlyxqPH8r4M8CcgqJo.jpg,,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,11:12:18,,17/08/2026,13:46:23,,,CORNER,0.2,0.1,,
1337,1337,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,2,9,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/y65W3Gx8imvXdzHm4byS.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/OeMNpR4DGUynVlOHjEl9.jpg,,COMPLETED,COMPLETED,,,Ali Madad,,,,16/09/2026,07:53:05,,,,,,,
65,65,CRONULLA JOB,STAGE 1,SEAL WINDOW FRAME,LOW,2,9,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/rFGuoHaUHTEadLMjEQ97.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/CCk32o0PZm52c6gMwgnA.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/vqxeyO34FYlQo2NpmPHl.jpg,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,11:08:05,,17/08/2026,13:47:57,,,ON BOTTOM,,,1.5,
66,66,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,2,9,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/YVsXbWLWFnGoiaxp827m.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/yMrXjq8F2ep8YN9cxyv9.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/iBhz5cA8QkKrIFvAzxzx.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/h8bH7QvwpcWdv6oC2aMb.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/nBOLDbGv1SiWdn1mpVJX.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/fcds6GqYPgncuB2amo9b.jpg,,,,BEFORE,IN PROGRESS,CHECK,,Nicolas Loyola,17/08/2026,11:09:56,Seba Dadea,07/09/2026,11:18:49,,,Cracks ,,,3,
1335,1335,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,2,10,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/vuMWB87LZfR2U5h7K1KC.jpg,,,COMPLETED,COMPLETED,,,Ali Madad,,,,16/09/2026,07:51:15,,,,,,,
68,68,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,2,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/HkYWBQ5tWN4i9j4xUksG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/lkuoXHbWx3JfL7ES7jZw.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/UEtZ98a8nhS8OsSXPxtg.jpg,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,11:04:03,Seba Dadea,07/09/2026,11:09:22,,,Cracks,,,3.1,
73,73,CRONULLA JOB,STAGE 1,DILAPITACION,LOW,2,11,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/kuKDNfWzZ6yuSoTgpHsO.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/84v5GSKAJC2rZKqMIE2H.jpg,,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,11:02:00,,17/08/2026,13:54:52,,,OLD FLYCREEM MESH,,,,
69,69,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,2,11,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/uzHtIySMJg3c3kiKrhw0.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/DoxjL0JXqhFBu0C7pYrd.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Cpy5DXOG2NOO3IZPhKFk.jpg,,,,,,BEFORE,IN PROGRESS,CHECK,,Nicolas Loyola,17/08/2026,10:48:31,Seba Dadea,07/09/2026,10:38:33,,,,0.1,1,,
1333,1333,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,2,11,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/KW4Sga70aNEGt1P8I9eB.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/yjaGEUXAcAEcSq5NFV8e.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/4fTTBpm1ljWsUpaIAlcZ.jpg,COMPLETED,COMPLETED,,,Ali Madad,,,,16/09/2026,07:49:49,,,,,,,
70,70,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,2,11,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Kp8DRDuyBjPseD6pOJIZ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/sAt9dziXAIcwNoiFYZNR.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/5LsyVFaNtj0vlQLv6O0b.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/VkJxr87h7ssBJzQwWXLc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/sgIIcvb9WLpFOHt8rMDM.jpg,,,,BEFORE,IN PROGRESS,CHECK,,Nicolas Loyola,17/08/2026,11:00:41,Seba Dadea,07/09/2026,10:14:13,,,CONSIDERER INSIDE THE DEF. 58,,,,
72,72,CRONULLA JOB,STAGE 1,SEAL WINDOW FRAME,LOW,2,11,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/ZaW9kyUPSoLwHcibjsHy.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/PyyRZaOGDFF8TUP7rAdm.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/3vAzcM33b0jlODEJLlW5.jpg,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,10:56:09,,17/08/2026,14:12:17,,,TOP ,,,1.5,
71,71,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,2,11,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/yqjCUd0wAUD4Jg78jP41.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/K0YJVJh4hzFbqTGZIPkU.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/YSuB3FB8f9wyvHIBdxYX.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/AlwGWTW9sEqXGO9rwt3X.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/MSMhvmjwzDBb6o13Oowl.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/tXBNYVE1Ul0MUwYxOk8J.jpg,,,,BEFORE,IN PROGRESS,CHECK,,Nicolas Loyola,17/08/2026,10:53:56,Seba Dadea,07/09/2026,10:57:56,,,CRACKS,,,3,
1331,1331,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,2,12,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/9g550qGD0JyAc9Tcsezz.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/rGr3vC3FIhN6hm0CTMlX.jpg,,COMPLETED,COMPLETED,,,Ali Madad,,,,16/09/2026,07:48:20,,,,,,,
67,67,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,2,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/iilqTkKzSG3TrNxvOAs5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/gH46edZZzSBBB60z0wcG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/I58v12IoKxhlbiPdN4WT.jpg,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,14:10:47,,17/08/2026,13:51:38,,,X19 FLOOR,,,58.9,
74,74,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,2,12,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/OhpgGOn92j49Soss7vV1.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/z5mZYJhFub0mCM56uRho.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/SXgcgVAo05QiLdoAtDMg.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/bz7hQSGhEtskbanIdMce.jpg,,,,,IN PROGRESS,IN PROGRESS,,,Nicolas Loyola,17/08/2026,10:43:23,Seba Dadea,07/09/2026,09:18:11,,,,,,2,
